video_title,video_id,video_length_minutes,video_created,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,watch_time_hours
"Let's Play Series 1, Part 22 — Assembling parts for a PneumaticCraft elevator",_kIc6XrvAgU,19.10,"Apr 16, 2017",118,14,8.5,44.25,0,0,0.00,0,0,0.00,6,0,0.00,38,2,1,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2
"Let's Play Series 1, Part 20 — Large-Scale construction with Forge Microblocks",HUrUDWhJhrY,19.17,"Apr 15, 2017",118,19,6.2,32.48,0,0,0.00,0,0,0.00,2,0,0.00,30,4,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,2
"Let's Play Series 1, Part 30 — Suspension Bridges & Sorting with Storage Drawers",2CwRxZ2bEEM,28.20,"Apr 30, 2017",118,7,16.9,59.89,0,0,0.00,0,0,0.00,2,0,0.00,28,2,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,2
"Let's Play Series 1, Part 28 — Exploring the moon with GalacticCraft",z8bszvM3GeI,35.05,"Apr 28, 2017",110,12,9.1,26.10,0,0,0.00,0,0,0.00,4,0,0.00,35,1,1,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,2
"Let's Play Series 1, Part 11 — More beekeeping with Gendustry",37-QhXtLkck,20.03,"Apr 02, 2017",107,21,5.1,25.39,0,0,0.00,0,0,0.00,10,0,0.00,20,1,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2
"Let's Play Series 1, Part 31 — Getting Started with RFTools Dimensions",NKXg5dKb5cw,26.60,"Apr 30, 2017",107,10,10.7,40.10,0,0,0.00,0,0,0.00,4,0,0.00,27,1,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,2
"Let's Play Series 1, Part 26 — Tree Farming with BuildCraft Robots",KwXNPXpYFFo,24.42,"Apr 26, 2017",96,10,9.6,39.15,0,0,0.00,0,0,0.00,2,0,0.00,24,1,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,2
Mod Spotlight: BuildCraft Transport Pipes,vCtoPsfct0g,26.88,"May 07, 2017",92,8,11.5,42.81,0,0,0.00,0,0,0.00,8,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,1,1,1,0,0,0,0,2
"Let's Play Series 1, Part 24 — Power with Buildcraft pipes & Lights with Chisel and Microblocks",ZwQnoZv9a8k,20.73,"Apr 20, 2017",91,13,7.0,33.73,0,0,0.00,0,0,0.00,4,0,0.00,21,1,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,2
"Let's Play Series 1, Part 27 — Getting ready to launch with GalacticCraft",QdlNzVs4lPE,22.38,"Apr 28, 2017",89,4,22.4,99.93,0,0,0.00,0,0,0.00,2,0,0.00,45,2,1,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,1
"Let's Play Series 1, Part 29 — Building cross-country roads",L2Fk3SuKRFk,25.90,"Apr 30, 2017",78,7,11.2,43.21,0,0,0.00,0,0,0.00,4,0,0.00,26,4,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
"Let's Play Series 1, Part 18 — Adding meat to the bones",oDzOidrjPzY,20.70,"Apr 12, 2017",74,15,4.9,23.91,0,0,0.00,0,0,0.00,4,0,0.00,21,4,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1
Tungston Miner,ceeArFnXY6E,0.68,"Apr 02, 2017",31,71,0.4,64.36,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
