date,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,videos_published,videos_added,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,watch_time_hours
2017-04-03,36,20,1.8,8.44,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,1,1,0,0,0,0,1,1,0,0,0,-1,0,1,1
2017-04-04,58,12,4.8,19.19,0,0,0.00,0,0,0.00,2,0,0.00,0,1,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
2017-04-05,53,18,3.0,12.12,0,0,0.00,0,0,0.00,4,0,0.00,1,2,0,0,0,0.00,0,0,0.00,0,1,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,1
2017-04-06,85,19,4.5,25.46,0,0,0.00,0,0,0.00,2,0,0.00,9,1,0,0,0,0.00,0,0,0.00,0,1,1,1,1,0,0,0,0,1,1,2,2,0,1,1,0,1
2017-04-07,62,13,4.7,35.27,0,0,0.00,0,0,0.00,4,0,0.00,30,1,1,0,0,0.00,0,0,0.00,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1
2017-04-08,63,6,10.6,42.72,0,0,0.00,0,0,0.00,2,0,0.00,7,1,0,0,0,0.00,0,0,0.00,0,0,2,0,0,0,0,0,0,0,0,3,3,0,-1,0,1,1
2017-04-09,3,7,0.4,1.75,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-10,8,6,1.3,5.57,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-11,16,2,8.0,57.66,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2017-04-12,77,14,5.5,26.71,0,0,0.00,0,0,0.00,4,0,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,1,3,3,0,0,0,0,0,1,0,0,0,1,1,0,1
